reg_num,name,type,settlement,oblast,municipality
С-38902-011,"Стадион ""Белмекен""",Стадион,с. Костенец,София,Костенец
С-10135-060,"Гребна база ""Черно море - Бриз-кану каяк""",Спортна база,гр. Варна,Варна,Варна
С-51319-006,Спортно игрище,Спортна площадка,гр. Неделино,Смолян,Неделино
С-55871-012,"Спортна зала ""Металург"", гр. Перник, кв. Изток, Промишлена зона ""Стомана"", ул. ""Орион"" № 7",Спортна база,гр. Перник,Перник,Перник
С-66264-029,"Комбинирана спортна площадка на открито за футбол, волейбол, хандбал и тенис на корт",Спортна площадка,с. Бошуля,Пазарджик,Септември
С-51319-008,Спортно игрище,Спортна площадка,гр. Неделино,Смолян,Неделино
С-56784-109,"Спортни зали, разположени в стадион ""Локомотив""",Спортна зала,гр. Пловдив,Пловдив,Пловдив
С-56784-105,"Спортна зала по стрелба към стадион ""Христо Ботев""",Стрелбище,гр. Пловдив,Пловдив,Пловдив
С-35523-011,"Автомобилна писта ""Дракон""",Писта,с. Калояново,Пловдив,Калояново
С-00702-037,"Гребна база ""40-те извора""",Спортна база,с. Мулдава,Пловдив,Асеновград
С-68134-401,Национален шахдом - София,Друг,гр. София,София (столица),Столична
С-62997-002,"Стадион ""Искър""",Друг,гр. Роман,Враца,Роман
С-62997-003,Игрище за тенис корт и волейбол,Друг,гр. Роман,Враца,Роман
С-62997-004,Игрище за футбол,Друг,гр. Роман,Враца,Роман
С-05815-008,"Спортно-тренировъчен комплекс - Ботевград, помощно игрище с изкуствена трева ""Герена""",Друг,гр. Ботевград,София,Ботевград
С-72624-031,"Стадион ""Пионер""",Друг,гр. Добрич,Добрич,Добрич
С-68134-400,Спортен комплекс в с. Кубратово,Друг,,София,
С-72165-019,Писта за картинг и моторни спортове,Друг,гр. Твърдица,Сливен,Твърдица
С-67800-007,"Спортна зала - м. ""Атия""",Друг,гр. Черноморец,Бургас,Созопол
С-67800-006,Лодъчна станция,Друг,гр. Черноморец,Бургас,Созопол
С-35167-030,Мини футболно игрище и спортна площадка,Друг,гр. Казанлък,Стара Загора,Казанлък
С-35167-032,Стадион в с. Енина,Друг,с. Енина,Стара Загора,Казанлък
С-35167-031,Стадион - с. Шейново,Друг,с. Шейново,Стара Загора,Казанлък
