facility_id,our_name,register_name,reg_num,type,settlement,municipality,similarity,verdict
d28c08bb-4e20-4f06-9001-140342a233b8,"Стадион ""Христо Ботев""","Стадион ""Христо Ботев""",С-56784-062,Стадион,гр. Пловдив,Пловдив,1.0,confirmed
92ec63fe-3ee1-47b4-ab4d-2d0a77d3619f,"Стадион ""Локомотив""","Стадион ""ЛОКОМОТИВ""",С-68850-007,Стадион,гр. Стара Загора,Стара Загора,1.0,confirmed
5e150463-b644-4bea-8d54-6b9d2e8c9230,"Стадион ""Христо Ботев""","стадион ""Христо Ботев""",С-04279-003,Стадион,гр. Благоевград,Благоевград,1.0,confirmed
922bc29a-5591-4310-9193-5a5b5af0d7f3,"Стадион ""Хаджи Димитър""","Стадион ""Хаджи Димитър""",С-67338-008,Стадион,гр. Сливен,Сливен,1.0,confirmed
c98b9ea3-e260-40a2-b38c-3d5526061672,Стадион,Стадион,С-56784-015,Стадион,с. Войводиново,Марица,1.0,confirmed
061d8abe-56ae-420e-ad4e-1341f5a27bc5,Стадион,Стадион,С-56784-015,Стадион,с. Войводиново,Марица,1.0,confirmed
db6e9944-75c1-47f5-8394-863ab3df0438,Стадион,Стадион,С-56784-027,Стадион,с. Оризари,Родопи,1.0,confirmed
685fc9ac-b722-4224-8d4c-7265d3dbbb5c,Стадион,Стадион,С-06207-003,Стадион,гр. Брацигово,Брацигово,1.0,confirmed
da6e8dd6-cb34-4b25-94e2-3b41b0f66526,"Стадион ""Априлов""",Стадион „Априлов“,С-14218-003,Стадион,гр. Габрово,Габрово,1.0,confirmed
0b862117-63f6-4ca0-81c7-fd7a8f6710ff,Тенис кортове,Тенис кортове,С-07702-010,Спортна площадка,гр. Бяла Слатина,Бяла Слатина,1.0,confirmed
2bcc404b-fea5-4fcd-8764-c992d2e6810f,тенис кортове,Тенис кортове,С-35064-003,Спортен комплекс,гр. Каварна,Каварна,1.0,confirmed
14bd9107-ce3c-4db0-b925-270b2716f5d3,Футболно игрище,футболно игрище,С-73496-004,Стадион,с. Нова Черна,Тутракан,1.0,confirmed
a65e06c8-4bd7-4554-a428-9dea2024759b,Футболно игрище,Футболно игрище,С-66425-005,Игрище,с. Калипетрово,Силистра,1.0,confirmed
a81501e6-4a3e-4fac-a466-9aaf7068d4c7,Стадион Орчо Войвода,"Стадион ""Орчо войвода""",С-55302-001,Стадион,гр. Панагюрище,Панагюрище,1.0,confirmed
d7de7aca-13b7-4f27-93a9-7c1cdbf4390f,Колодрум,Колодрум,С-35167-002,Колодрум,гр. Казанлък,Казанлък,1.0,confirmed
5f7df49c-0a9c-4aee-b60f-019d8a300406,Стадион,Стадион,С-63427-012,Стадион,с. Червена вода,Русе,1.0,confirmed
7ad7a45e-ae28-44b1-97dd-46ab3af86a0e,Стадион „Христо Ботев“,"Стадион ""Христо Ботев""",С-05815-005,Друг,гр. Ботевград,Ботевград,1.0,confirmed
c4979272-e25a-4f84-a59e-d7294690fb82,Футболно игрище,Футболно игрище,С-69660-009,Училищна спортна база,гр. Стралджа,Стралджа,1.0,confirmed
4848beeb-e19c-44a6-b375-9cd73f8cca58,Стадион,Стадион,С-67338-026,Стадион,с. Самуилово,Сливен,1.0,confirmed
c59860f3-7dae-4e9f-9f61-065a01f906b3,Стадион,Стадион,С-15309-001,Стадион,гр. Годеч,Годеч,1.0,confirmed
3f2fe748-dba8-4904-9cb8-c2a6f98a1fe6,Стадион Димитър Лекин,"Стадион ""Димитър Лекин""",С-77058-001,Стадион,гр. Хаджидимово,Хаджидимово,1.0,confirmed
ff6c4e3e-6b0e-4a33-8062-6a101a4dd2a5,Игрище,Игрище,С-56784-010,Игрище,с. Динк,Марица,1.0,confirmed
c23ee1e2-0705-41ce-b56e-084505a92dc2,Стадион Плевен,Стадион ПЛЕВЕН,С-56722-006,Стадион,гр. Плевен,Плевен,1.0,confirmed
07e06a8e-8449-4492-8713-4b84d8eed1f9,"Градски Стадион ""Филип Тотю""","Градски стадион ""Филип Тотю""",С-20184-001,Стадион,гр. Две могили,Две могили,1.0,confirmed
0d440fe8-bf8b-4cdf-a49d-588509d71a37,Спортна зала Никола Станчев,"Спортна зала ""Никола Станчев""",С-07079-043,Спортна зала,гр. Бургас,Бургас,1.0,confirmed
