име,спорт,достъп,настилка,осветление,покрита,квартал,дължина,ширина,__facility_id,__reg_num,__register_type,__settlement
"СК ""Отдих и култура"" - Плувни басейни",swimming,free,,,не,,24.699695,42.141163,659c1f8a-8d38-4357-9979-c26d06c18c19,С-56784-028,Басейн,гр. Пловдив
"""Локомотив"" Септември",,paid,,,не,,24.132367,42.205675,a0dd18a0-a1b5-414d-b4fe-cca129be418e,С-66264-001,Спортна зала,гр. Септември
"Спортна зала ""Фестивална""",,paid,,,да,,22.875871,43.991367,447bb69f-298e-4fe5-954e-f226f598ca6c,С-10971-001,Спортна зала,гр. Видин
"Спортна зала ""Дръстър""",,paid,,,да,,27.257644,44.108357,3b810223-fbae-4dbd-9f43-6a3471ac242c,С-66425-002,Спортна зала,гр. Силистра
Покрит плувен басейн - гр. Правец,fitness;swimming,paid,,,да,,23.893514,42.908615,bd708dc7-58e6-410b-b9de-d95acb59f054,С-58030-004,Басейн,гр. Правец
ПЛУВЕН БАСЕЙН - град Левски,swimming,paid,,,не,,25.132678,43.356821,6fb77401-deac-4310-a118-3decabc1b544,С-43236-001,Басейн,гр. Левски
Зала за бойни изкуства и фитнес,,paid,,,не,,24.936454,41.493445,be41b93a-b60d-44fc-bb2b-e62aa15f46f6,С-46045-010,Фитнес зала,гр. Мадан
"Спортна зала, гр. Дряново",,paid,,,да,,25.450174,42.936768,2e870232-c9aa-434f-b53e-ec3c665a5cac,С-23947-002,Зала за обща физическа подготовка,гр. Дряново
Спортна зала ШАБЛА,,paid,,,не,,28.531262,43.543910,295c7ff4-b3fa-4459-b7c3-45d00db73e7c,С-83017-001,Спортна зала,гр. Шабла
Покрита спортна зала,basketball;fitness;table_tennis;volleyball,free,,,да,,24.270581,41.938160,9c3a8ace-9982-4927-9079-f3aa5e7651ed,С-02837-002,Спортна зала,с. Нова махала
Открита градска къпалня - Трявна,swimming,paid,,,не,,25.478507,42.863134,4a64aaef-d0bb-4201-aa7a-3711b9577e6e,С-73403-005,Басейн,гр. Трявна
"Спортна зала ""Комсомолска""",,paid,,,да,,26.540018,42.529745,7038bd99-fe9f-4bc1-8835-7889af009e2d,С-87374-043,Спортна зала,с. Веселиново
