qid,wd_label,image,commons_cat,lon,lat,nearest_id,nearest_name,nearest_mun,dist_m,our_wikidata_tag,name_sim,verdict
Q368232,Стадион „Георги Аспарухов“,http://commons.wikimedia.org/wiki/Special:FilePath/Sofia%20Levski%20Stadium%20Aerial.jpg,Georgi Asparuhov Stadium,23.363197,42.705467,98a8c57b-140b-4e7a-a5e2-8d62d9e5e3b4,Стадион Виваком Арена – Георги Аспарухов,Столична,15,Q368232,0.77,confirmed
Q641325,Арена 8888 София,http://commons.wikimedia.org/wiki/Special:FilePath/Arena%20armeec.JPG,"Arena Armeets, Sofia",23.369167,42.671111,c16f51f8-33f3-4aa3-b72d-5c68921c2dad,Арена 8888 София,Столична,21,Q641325,1.0,confirmed
Q111016961,Ледена пързалка Славия,,,23.275003,42.677549,2dc46eb9-8885-4461-b9b4-38079f175508,Зимна пързалка Славия,Столична,4,Q111016961,0.84,confirmed
Q1058669,Хаджи Димитър (стадион),,,26.336667,42.679306,922bc29a-5591-4310-9193-5a5b5af0d7f3,"Стадион ""Хаджи Димитър""",Сливен,23,Q1058669,1.0,confirmed
Q849639,Тича,http://commons.wikimedia.org/wiki/Special:FilePath/Ticha-Stadium.jpg,Ticha Stadium,27.931389,43.215833,65f560c0-cb01-4fc0-947a-aa817a618d9b,Стадион „Тича“,Варна,17,Q849639,1.0,confirmed
Q1806793,Лазур (стадион),http://commons.wikimedia.org/wiki/Special:FilePath/Stadion%20%C4%8Cernomoreca%20-%20panoramio.jpg,Lasur Stadium,27.470278,42.5125,9857eef4-6329-4014-8ea2-30a98fe0c741,Лазур,Бургас,11,Q1806793,1.0,confirmed
Q1572672,Локомотив,http://commons.wikimedia.org/wiki/Special:FilePath/Stadion%20Lokomotiv%203.jpg,Lokomotiv Stadium (Sofia),23.314806,42.737639,8c8b4a99-5a37-4de2-add8-3fa3514d349c,Стадион Локомотив,Столична,9,Q1572672,1.0,confirmed
Q4355474,Георги Бенковски,http://commons.wikimedia.org/wiki/Special:FilePath/Stadion%20Georgi%20Benkovski%20Pazardzhik.jpg,,24.3225,42.21083333,fc898c20-86c1-4fda-acbb-6b4818130e31,Стадион Георги Бенковски,Пазарджик,16,Q4355474,1.0,confirmed
Q5092087,Черноморец (стадион),http://commons.wikimedia.org/wiki/Special:FilePath/StadionChernomoretz1.jpg,"Chernomorets Stadium, Burgas",27.453056,42.490278,ac0c033d-0297-4aab-a47f-f69314857f42,Черноморец,Бургас,12,,1.0,confirmed
Q3658558,Христо Ботев,,,23.78638889,42.90055556,7ad7a45e-ae28-44b1-97dd-46ab3af86a0e,Стадион „Христо Ботев“,Ботевград,14,Q3658558,1.0,confirmed
Q12007864,Тунджа (стадион),,,26.4939,42.4836,22a8f400-208e-4065-a5ee-f538d40a7fa2,Стадион Тунджа,Ямбол,30,Q12007864,1.0,confirmed
Q12294850,Спортен комплекс Правец,,,23.909700739,42.896863164,cb4d5c3f-7a53-462a-a3a8-0277c82adfd0,Спортен Комплекс Правец,Правец,12,,1.0,confirmed
Q12294029,Сливнишки герой (стадион),,,23.032407781,42.858212141,a19056bc-99e4-4461-96d8-128b229f3dba,Стадион Сливнишки Герой,Сливница,14,,1.0,confirmed
