ekatte_code,name_bg,name_en
BGS01,Айтос,Aytos
BGS04,Бургас,Burgas
BGS06,Средец,Sredets
BGS08,Камено,Kameno
BGS09,Карнобат,Karnobat
BGS12,Малко Търново,Malko Tarnovo
BGS13,Царево,Tsarevo
BGS15,Несебър,Nesebar
BGS17,Поморие,Pomorie
BGS18,Руен,Ruen
BGS21,Созопол,Sozopol
BGS23,Сунгурларе,Sungurlare
BGS27,Приморско,Primorsko
BLG01,Банско,Bansko
BLG02,Белица,Belitsa
BLG03,Благоевград,Blagoevgrad
BLG11,Гоце Делчев,Gotse Delchev
BLG13,Гърмен,Garmen
BLG28,Кресна,Kresna
BLG33,Петрич,Petrich
BLG37,Разлог,Razlog
BLG40,Сандански,Sandanski
BLG42,Сатовча,Satovcha
BLG44,Симитли,Simitli
BLG49,Струмяни,Strumyani
BLG52,Хаджидимово,Hadzhidimovo
BLG53,Якоруда,Yakoruda
DOB03,Балчик,Balchik
DOB12,Генерал Тошево,General Toshevo
DOB15,Добрич-селска,Dobrich-selska
DOB17,Каварна,Kavarna
DOB20,Крушари,Krushari
DOB27,Тервел,Tervel
DOB28,Добрич,Dobrich
DOB29,Шабла,Shabla
GAB05,Габрово,Gabrovo
GAB12,Дряново,Dryanovo
GAB29,Севлиево,Sevlievo
GAB35,Трявна,Tryavna
HKV09,Димитровград,Dimitrovgrad
HKV11,Ивайловград,Ivaylovgrad
HKV17,Любимец,Lyubimets
HKV18,Маджарово,Madzharovo
HKV19,Минерални бани,Mineralni bani
HKV28,Свиленград,Svilengrad
HKV29,Симеоновград,Simeonovgrad
HKV30,Стамболово,Stambolovo
HKV32,Тополовград,Topolovgrad
HKV33,Харманли,Harmanli
HKV34,Хасково,Haskovo
JAM03,Болярово,Bolyarovo
JAM07,Елхово,Elhovo
JAM22,Стралджа,Straldzha
JAM25,Тунджа,Tundzha
JAM26,Ямбол,Yambol
KNL04,Бобов дол,Bobov dol
KNL05,Бобошево,Boboshevo
KNL27,Кочериново,Kocherinovo
KNL29,Кюстендил,Kyustendil
KNL31,Невестино,Nevestino
KNL38,Рила,Rila
KNL41,Сапарева баня,Sapareva banya
KNL48,Дупница,Dupnitsa
KNL50,Трекляно,Treklyano
KRZ02,Ардино,Ardino
KRZ08,Джебел,Dzhebel
KRZ14,Кирково,Kirkovo
KRZ15,Крумовград,Krumovgrad
KRZ16,Кърджали,Kardzhali
KRZ21,Момчилград,Momchilgrad
KRZ35,Черноочене,Chernoochene
LOV02,Априлци,Apriltsi
LOV17,Летница,Letnitsa
LOV18,Ловеч,Lovech
LOV19,Луковит,Lukovit
LOV33,Тетевен,Teteven
LOV34,Троян,Troyan
